Category;Points;Question;Answer
Julefilmer;100;"Hvor mange spøkelser møter vi i ""A Christmas Carol""?";Hva er 'fire'
Julefilmer;150;"Hvilket språk er ""Tre Nøtter Til Askepott"" egentlig på?";Hva er 'tsjekkisk (og tysk)'
Julefilmer;200;Hva er fornavnet til Scrooge?;Hva er 'Ebenezer'
Julefilmer;250;I hvilken film spiller samme skuespiller 6 forskjellige roller?;Hva er 'Polarekspressen (Tom Hanks)'
Julefilmer;300;Grinchen stjal alle gavene fra hvilken by?;Hva er 'WhoVille'
Julefilmer;350;"""The Miracle on 34th Street"" sentrerer seg rundt hvilken butikk?";Hva er 'Macy's'
Julefilmer;400;I polarekspressen, hva får gutten i gave av nissen?;Hva er 'en bjelle'
Julefilmer;500;"I filmen ""Elf"", hva er den første regelen i 'The Code of Elves'?";Hva er 'Treat every day like Christmas'
Julemat;100;Hva er den mest populære julematen i Norge?;Hva er 'ribbe'
Julemat;150;Hvilket dyr er laget av mandler, eggehvite og melis?;Hva er 'marsipangrisen'
Julemat;200;"Hva er det man griller over bålet i sangen ""The Christmas Song"" av Nat King Cole?";Hva er 'kastanjer'
Julemat;250;Nevn minst 4 av de 7 opprinnelige slagene man baker til jul.;Hva er 'goro, smultringer, fattigmann, berlinerkranser, sandkaker, krumkaker, sirupsnipper'
Julemat;300;Hva er hovedingrediensen i kransekake?;Hva er 'mandler'
Julemat;350;"Hva er ""klippfisk""?";Hva er 'tørket og saltet fisk, vanligvis torsk'
Julemat;400;Hva heter den tradisjonelle italienske kaken som spises rundt juletider?;Hva er 'panettone'
Julemat;500;I hvilket land er det vanlig å spise KFC på julaften?;Hva er 'Japan'
Julekalendere;100;Hvor utspiller Jul i Svingen seg?;Hva er 'Svingen'
Julekalendere;150;Hva heter skomakeren i Jul i Skomakergata?;Hvem er 'Jens Petrus Andersen'
Julekalendere;200;Hva heter karakteren, spilt av Atle Antonsen, som stadig ble sendt ut og inn av Nissene på Låven?;Hvem er 'Bent Leikvoll'
Julekalendere;250;Hva heter rødnissejenta vi følger i Jul på Månetoppen?;Hvem er 'Jentungen'
Julekalendere;300;I Jul i Svingen, hvilken idrett drev faren til Nure med?;Hva er 'bryting'
Julekalendere;350;Hva heter Fleksnes til fornavn?;Hvem er 'Marve'
Julekalendere;400;Hva heter den mest populære julekalenderen gjennom tidene?;Hva er 'Jul i Skomakergata'
Julekalendere;500;Når ble Jul i Blåfjell sendt på TV for første gang?;Hva er '1999'
Juletradisjoner;100;Hva kaller amerikanerne den 25. desember?;Hva er 'Boxing Day'
Juletradisjoner;150;Hva slags type mat er ofte lagt ut til nissen?;Hva er 'kjeks og melk'
Juletradisjoner;200;Hvilket dyr er det hovmesteren snubler i?;Hva er 'tiger'
Juletradisjoner;250;Hva heter den berømte russiske balletten som går i julen?;Hva er 'Nøtteknekkeren'
Juletradisjoner;300;Hva er det egentlige navnet til nissen?;Hvem er 'Kris Kringle'
Juletradisjoner;350;Hva symboliserer stjernen på toppen av juletreet?;Hva er 'stjernen som viste vei til stallen hvor Jesus ble født'
Juletradisjoner;400;Hva heter engelen som fortalte Jomfru Maria at hun skulle få barn?;Hvem er 'Gabriel'
Juletradisjoner;500;Hvorfor fant man på å stikke nellikspiker inn i en appelsin?;Hva er 'for å holde pesten unna.'
Diverse;100;Hvor mange ganger sjekker nissen listen sin?;Hva er '2'
Diverse;150;Hvilket kornslag lages det julenek av?;Hva er 'havre'
Diverse;200;Hvor mange reinsdyr drar sleden til nissen?;Hva er '9'
Diverse;250;Hvilken typisk juleplante er egentlig en parasittplante?;Hva er 'misteltegn'
Diverse;300;Hvilken julesang har solgt mest gjennom tidene?;"Hva er '""White Christmas"" av Bing Crosby'"
Diverse;350;Tre av nissens reinsdyr starter på bokstaven D. Hva heter de?;Hvem er 'Dancer, Dasher, og Donner'
Diverse;400;Hvilket eventyrhus er pepperkakehuset inspirert av?;Hva er 'Hans og Grethe sitt hus'
Diverse;500;"Hvem skrev den kjente fortellingen ""A Christmas Carol"" (""En Julefortelling"")?";Hvem er 'Charles Dickens'
Random;100;Hvilke tre gaver fikk Jesus av de tre vise menn?;Hva er 'gull, røkelse og myrra'
Random;150;Hvilken norsk TV-kanal sendte den første julekalenderen?;Hva er 'NRK'
Random;200;Hva heter aktiviteten barn ofte gjør i romjulen når de går fra dør til dør og synger for godteri?;hva er 'julebukk'
Random;250;Hva heter de fire gjestene hos Grevinnen?;Hvem er 'Sir Toby, Admiral von Schneider, Mister Pomeroy, Mister Winterbottom'
Random;300;Hva heter Disney-kavalkaden som sendes på julaften hvert år?;Hva er 'Donald Duck og vennene hans'
Random;350;Hvilket bær brukes til å lage sausen man spiser til kalkun?;Hva er 'tranebær'
Random;400;Hva heter skuespilleren som spiller Kevin McCallister i Alene Hjemme?;Hvem er 'Macaulay Culkin'
Random;500;Hva heter morderen i Jul i Blodfjell, sesong 1?;Hvem er 'Putti'